,member_casual,station_name,station_lng,station_lat,station_rides
1409,casual,Prospect Sq & 91st St,-87.6675239,41.7282338,385
1410,casual,Cottage Grove & 84th St,-87.6,41.74,383
1411,casual,Western Ave & 104th St,-87.68106916666666,41.704607,383
1412,member,Menard Ave & Division St,-87.77,41.9,383
1413,casual,Harlem Ave & Grace St,-87.81,41.95,382
1414,member,Kilbourn Ave & Milwaukee Ave,-87.74000823497772,41.94707089418471,382
1415,casual,Public Rack - Lake Shore Dr & Hayes Dr,-87.57,41.78,379
1416,casual,Stony Island Ave & 90th St,-87.5857885,41.731416333333335,377
1417,casual,Shabbona Park,-87.8,41.94,377
1418,casual,Cicero Ave & Lake St,-87.745261,41.886841,376
1419,member,Rockwell St & 63rd St,-87.69,41.78,374
1420,casual,Ashland Ave & 45th St,-87.66,41.81,374
1421,casual,Homan Ave & 26th St,-87.71,41.84,370
1422,casual,Marquette Ave & 79th St,-87.56,41.75,370
1423,casual,Christiana Ave & Archer Ave,-87.71,41.81,370
1424,casual,Yates Blvd & 75th St,-87.56644,41.758768,369
1425,casual,Hamlin Ave & 62nd Pl,-87.72,41.78,367
1426,member,N Shore Channel Trail & Argyle St,-87.7,41.97,366
1427,casual,Keef Ave & South Chicago Ave,-87.61,41.77,366
1428,member,Princeton Ave & Garfield Blvd,-87.633124,41.794982,365
1429,casual,Halsted & 63rd - Kennedy-King Vaccination Site,-87.644621,41.779381,365
1430,casual,Base - 2132 W Hubbard,-87.83324883333333,41.95202883333333,364
1431,casual,Base - 2132 W Hubbard Warehouse,-87.680251,41.889973833333336,364
1432,casual,Cottage Grove Ave & 71st St,-87.604959713,41.76571903697,362
1433,member,Christiana Ave & Archer Ave,-87.71,41.81,361
1434,member,Kedzie Ave & 48th Pl,-87.7,41.8,361
1435,casual,Pulaski Rd & Lake St,-87.726491,41.885409,361
1436,casual,Union Ave & Root St,-87.643278,41.819102,360
1437,casual,Central Ave & Lake St,-87.765469,41.887664,359
1438,casual,Maryland Ave & 104th St,-87.6,41.71,358
1439,member,Public Rack - Lake Shore Dr & Hayes Dr,-87.57,41.78,357
1440,casual,Big Marsh Park,-87.573765,41.685870666666666,356
1441,casual,Loomis St & 87th St,-87.66,41.74,355
1442,casual,Cottage Grove Ave & 91st St,-87.6,41.73,354
1443,member,Central Ave & Madison St,-87.763238,41.880121,354
1444,member,Wolcott Ave & 61st St,-87.67,41.78,354
1445,casual,Bloomingdale Ave & Harlem Ave,-87.81,41.91,353
1446,casual,Lawndale Ave & 16th St,-87.72,41.86,353
1447,casual,Wentworth Ave & 79th St,-87.63,41.75,351
1448,member,Mozart St & Jackson Blvd,-87.7,41.88,351
1449,casual,Wood St & 103rd St,-87.67,41.71,351
1450,casual,Tripp Ave & 65th St,-87.73,41.77,350
1451,member,Wentworth Ave & 63rd St,-87.629786,41.78005616666667,349
1452,casual,Walden Pkwy & 103rd St,-87.67,41.71,349
1453,member,Ashland Ave & Pershing Rd,-87.665577,41.823465,349
1454,casual,Robert Fulton Elementary School,-87.67,41.8,348
1455,casual,Central Park Ave & 24th St,-87.715068,41.8481,348
1456,casual,Austin Blvd & Chicago Ave,-87.774704,41.894887,348
1457,member,Sacramento Blvd & Addison St,-87.7,41.95,347
1458,casual,Public Rack - Halsted St & 109th St,-87.64,41.7,346
1459,casual,Public Rack - Homan Ave & 26th St,-87.71,41.84,342
1460,casual,Perry Ave & 69th St,-87.6281959291,41.76929308995,340
1461,member,Public Rack - Halsted St & 109th St,-87.64,41.7,340
1462,casual,Ada St & 95th St,-87.66,41.72,340
1463,casual,Marshfield Ave & 44th St,-87.666589,41.813996,339
1464,casual,Plainfield & Irving Park,-87.83,41.95,337
1465,member,Calumet Ave & Garfield Blvd,-87.62,41.79,337
1466,member,Wabash Ave & 87th St,-87.62,41.74,336
1467,casual,Western Ave & 79th St,-87.68,41.75,336
1468,casual,Lavergne Ave & 46th St,-87.75,41.81,334
1469,casual,Cottage Grove Ave & 83rd St,-87.604836,41.743441,331
1470,member,Austin Blvd & Chicago Ave,-87.774704,41.894887,331
1471,casual,Pulaski Rd & 60th St,-87.72,41.78,331
1472,casual,Oak Park & Wellington,-87.8,41.93,329
1473,casual,Public Rack - Michigan Ave & 107th St,-87.62,41.7,329
1474,casual,Vernon Ave & 79th St,-87.61379,41.75094,327
1475,member,Base - 2132 W Hubbard,-87.83324883333333,41.95202883333333,327
1476,casual,Sacramento Blvd & Polk St,-87.7,41.87,326
1477,casual,State St & 123rd St,-87.62258648872375,41.67064383687979,326
1478,member,Eberhart Ave & 61st St,-87.61325716666667,41.784096,325
1479,casual,Avenue L & 114th St,-87.54,41.69,322
1480,casual,Stewart Ave & 63rd St,-87.634774,41.779835,321
1481,casual,Kostner Ave & Lake St,-87.74,41.89,320
1482,member,Campbell Ave & 51st St,-87.69,41.8,320
1483,casual,California Ave & Touhy Ave - NW,-87.7,42.01,313
1484,casual,Kedzie Ave & 24th St,-87.7054137458,41.84819094491,313
1485,casual,South Shore High School,-87.58,41.76,311
1486,casual,Ashland Ave & Pershing Rd,-87.665577,41.823465,310
1487,casual,Public Rack - Langley Ave & 49th St,-87.61,41.8,308
1488,member,Spaulding Ave & 16th St,-87.71,41.86,307
1489,casual,California Ave & 26th St,-87.695358,41.844058833333335,305
1490,casual,Public Rack - Spencer Elementary Technology Academy,-87.75,41.89,303
1491,member,Kimbark Ave & 67th St,-87.59,41.77,303
1492,casual,Menard Ave & Adams Blvd,-87.77,41.88,303
1493,casual,Laramie Ave & Kinzie St,-87.755527,41.887832,303
1494,member,Kildare Ave & Division St,-87.73,41.9,302
1495,casual,Rockwell Ave & Touhy Ave ,-87.7,42.01,302
1496,member,Lawndale Ave & 30th St,-87.72,41.84,302
1497,casual,Racine Ave & Garfield Blvd,-87.655073,41.794228,301
1498,casual,Western Ave & 92nd Pl,-87.68,41.73,301
1499,casual,North Ave & New England Ave,-87.8,41.91,300
1500,member,Public Rack - Milwaukee Ave & Diversey Ave,-87.71,41.93,299
1501,member,Francisco Ave & 47th St,-87.7,41.81,299
1502,casual,Public Rack - Pulaski Rd & Lake St,-87.73,41.89,298
1503,member,Keeler Ave & Roosevelt Rd,-87.73,41.87,298
1504,member,Kedzie Ave & 21st St,-87.7050730318,41.85353363213,297
1505,casual,Rockwell St & 63rd St,-87.69,41.78,297
1506,casual,Central Ave & Chicago Ave,-87.764902,41.894958,296
1507,casual,Whipple/Irving Park,-87.7,41.95,296
1508,casual,Western Ave & 111th St - SW,-87.68,41.69,296
1509,member,Austin Blvd & Madison St,-87.77443483333333,41.88026766666667,295
1510,casual,Marshfield Ave & 45th St,-87.67,41.81,295
1511,member,Millard Ave & 26th St,-87.71592199802399,41.84453112462163,292
1512,casual,Dauphin Ave & 87th St,-87.60125756263733,41.73655902282214,292
1513,member,Jeffery Blvd & 71st St,-87.5764501141,41.76663823695,291
1514,casual,Whipple St & Roosevelt Rd,-87.7,41.87,291
1515,casual,Halsted St & 51st St,-87.645213904,41.80183164049,290
1516,casual,Ellis Ave & 83rd St,-87.599034,41.744123,290
1517,member,MLK Jr Dr & 56th St,-87.615853,41.793429,289
1518,casual,California Ave & 36th St,-87.69,41.83,289
1519,casual,Jeffery Blvd & 76th St,-87.5758393587,41.75712006802,289
1520,member,Phillips Ave & 79th St,-87.565211,41.75182,288
1521,casual,Kildare & Cermak,-87.73,41.85,287
1522,casual,Western Ave & 100th St,-87.68,41.71,287
1523,casual,Central Ave & Harrison St,-87.764499,41.872993,287
1524,casual,Kedzie Ave & Harrison St,-87.7048707493,41.87359967462,286
1525,casual,Loomis St & 89th St,-87.6580855,41.73249233333333,286
1526,member,State St & 95th St,-87.6228544,41.7218499,285
1527,casual,Homewood Ave & 115th St,-87.670749,41.6845335,284
1528,member,Morgan St & Pershing Rd,-87.650931,41.823613,282
1529,casual,Ada St & 117th St,-87.66,41.68,282
1530,member,532 E 43rd St,-87.61,41.82,280
1531,member,Damen Ave & 47th St,-87.68,41.81,280
1532,casual,Pulaski Rd & Congress Pkwy,-87.725704,41.874325,279
1533,casual,Laflin St & 51st St,-87.66,41.8,279
1534,member,Kostner Ave & Adams St,-87.735737,41.877917,279
1535,casual,Major Taylor Trail & 115th St,-87.645268,41.684994333333336,278
1536,casual,Public Rack - Saginaw Ave & 93rd St,-87.56,41.73,278
1537,casual,Stony Island Ave & 86th St,-87.59,41.74,278
1538,member,Stony Island Ave & 75th St,-87.586882871,41.7586696704,277
1539,member,May St & 69th St,-87.652934,41.768938,276
1540,member,Harlem Ave & Grace St,-87.81,41.95,276
1541,casual,Wood St & 47th St,-87.67,41.81,276
1542,casual,Central Ave & Congress Pkwy,-87.76,41.87,276
1543,member,Midway Orange Line,-87.74,41.79,276
1544,casual,S Aberdeen St & W 106th St,-87.65,41.7,274
1545,member,Komensky Ave & 31st St,-87.73,41.84,273
1546,member,Western & 28th - Velasquez Institute Vaccination Site,-87.6851314409,41.84151770807,270
1547,casual,Western Ave & 62nd St,-87.68,41.78,270
1548,casual,Ashland Ave & 76th St,-87.66,41.76,268
1549,casual,Sacramento Blvd & Franklin Blvd,-87.70260751247406,41.89046879243862,268
1550,member,Western Blvd & 49th St,-87.68,41.8,267
1551,member,Kedzie Ave & 52nd St,-87.7,41.8,266
1552,casual,Damen Ave & 59th St,-87.67413916666666,41.78604433333334,266
1553,member,Oglesby Ave & 95th St,-87.57,41.72,266
1554,casual,Laramie Ave & Madison St,-87.755337,41.880207,265
1555,casual,May St & 69th St,-87.652934,41.768938,265
1556,casual,St Louis Ave & 59th St,-87.71,41.79,264
1557,casual,Emerald Ave & 45th St,-87.64,41.81,264
1558,member,Cottage Grove Ave & 67th St,-87.605635,41.773721,263
1559,casual,Avenue J & 106th St,-87.53,41.7,262
1560,casual,S Michigan Ave & E 118th St,-87.62,41.68,262
1561,casual,California Ave & Marquette Rd,-87.69,41.77,262
1562,casual,Menard Ave & Madison St,-87.77,41.88,261
1563,casual,Public Rack - South Shore Dr & 71st St,-87.56,41.77,259
1564,member,Loomis St & 87th St,-87.66,41.74,257
1565,casual,Elizabeth St & 92nd St,-87.65429019927979,41.72679896370119,257
